Car_Name,Year,Selling_Price,Driven_KMs,Fuel_Type,Transmission,Engine_Size_L,Mileage_kmpl
Audi Q3,2013,471916.12,169215,Petrol,Manual,1.6,10.9
Ford EcoSport,2010,254355.3,186488,Diesel,Automatic,2.4,15.7
BMW 1 Series,2012,664030.09,191832,Petrol,Manual,2.9,11.5
BMW X3,2019,1686583.45,108084,Petrol,Automatic,2.0,9.9
Mercedes-Benz A-Class,2017,2159004.67,72988,Electric,Automatic,0.0,147.5
Volkswagen Vento,2020,951255.19,100537,Electric,Manual,0.0,160.9
Volkswagen Tiguan,2015,285797.36,108447,Diesel,Manual,1.5,15.2
Audi Q3,2023,2395608.45,16727,Petrol,Manual,1.9,12.4
Volkswagen Virtus,2010,120000.0,258769,CNG,Automatic,1.5,21.8
BMW X3,2023,2350502.4,26807,Diesel,Automatic,1.7,15.0
Ford Endeavour,2024,2725168.0,32357,Diesel,Automatic,2.6,10.2
Ford Mustang,2017,668225.79,66919,Diesel,Manual,2.2,12.3
Tata Nexon,2023,715351.47,44242 KM,Petrol,Manual,,11.5
Toyota Yaris,2022,872120.07,28684,Diesel,Manual,1.6,12.3
Hyundai Verna,2020,497843.13,87925,Petrol,Automatic,1.4,13.2
Hyundai Venue,2013,153950.21,76307,Hybrid,Automatic,1.0,24.1
BMW 1 Series,2017,1434802.72,92593,CNG,Automatic,3.1,27.4
Hyundai i20,2015,255426.34,135289,Diesel,Automatic,1.6,13.2
Audi Q3,2011,435450.87,172204,Petrol,Automatic,1.6,10.7
BMW 1 Series,2016,1493140.3,68805,Diesel,Manual,3.2,10.0
Maruti Suzuki Swift,2020,576267.8,103702,Electric,Manual,0.0,166.0
BMW 1 Series,2014,746783.06,189433,Petrol,Automatic,2.1,14.8
Mercedes-Benz A-Class,2020,2286711.38,77147,Petrol,Automatic,2.6,11.1
Ford Focus,2015,605873.69,119907,Electric,Automatic,0.0,143.8
Toyota Corolla,2016,361410.93,"132,395 km",CNG,Automatic,1.7,27.2
Audi A3,2024,4011653.24,36616,Petrol,Automatic,2.6,8.5
Tata Punch,2010,120000.0,112370,Diesel,Automatic,1.0,13.7
Tata Safari,2011,135371.51,95735,Petrol,Automatic,1.5,10.7
Ford Fiesta,2009,285898.43,"233,906 km",CNG,Automatic,3.1,29.0
Mercedes-Benz GLE,2019,2826652.09,69086,Hybrid,Automatic,2.5,17.1
Ford Endeavour,2016,667570.58,146294,Petrol,Automatic,3.0,7.9
Tata Altroz,2009,120000.0,145601,Petrol,Automatic,1.4,10.6
Volkswagen Vento  ,2010,353441.73,60175,Electric,Manual,0.0,169.8
Hyundai Tucson,2010,137918.16,113926,Diesel,Automatic,1.5,15.0
Volkswagen Vento,2015,217110.63,168010,Diesel,Manual,1.2,16.2
Toyota Camry,2021,949106.95,53506,Hybrid,Automatic,1.5,18.2
Volkswagen Tiguan,2022,876282.83,49699 KM,Petrol,Automatic,1.6,15.5
Volkswagen Tiguan,2020,587112.95,82693,Petrol,Manual,1.7,13.5
Toyota Fortuner,2019,624148.65,97271,Diesel,Automatic,1.5,13.1
Volkswagen Vento,2020,689651.43,70206,Diesel,Automatic,1.5,20.9
Hyundai Verna,2024,844946.89,20403,Diesel,Manual,1.6,11.3
BMW 5 Series,2008,263364.64,371982,Petrol,Automatic,,11.6
Ford Focus,2010,283864.81,229855,Diesel,Manual,3.3,12.9
BMW 5 Series,2019,2437376.87,106358,Petrol,Automatic,2.9,10.4
BMW 3 Series,2011,535571.87,112622,Petrol,Automatic,2.2,12.9
Maruti Suzuki Baleno,2018,232132.1,79440,Petrol,Automatic,1.4,13.6
Honda Civic,2018,318172.94,143389,Petrol,Automatic,1.1,13.6
Ford Focus,2010,441464.26,252860,Diesel,Automatic,,10.2
Audi A6,2010,552608.57,114161,Petrol,Manual,2.5,11.1
Toyota Yaris,2020,551783.13,60307,Petrol,Manual,1.4,16.9
Volkswagen Taigun,2016,371413.71,97116,Petrol,Automatic,1.8,11.4
Mercedes-Benz A-Class,2017,1046149.11,132025,Diesel,Manual,1.6,13.8
Maruti Suzuki Baleno,2022,437172.88,65759,  Diesel ,Manual,1.5,14.2
Ford Fiesta,2016,703657.35,98457,Petrol,Manual,2.7,9.7
Toyota Corolla,2019,526939.82,40127,Petrol,Automatic,1.4,10.6
Audi A4,2019,1846785.78,106026,Diesel,Manual,2.8,10.2
Maruti Suzuki Ertiga,2024,473563.65,24424,Petrol,Manual,1.4,10.5
Mercedes-Benz C-Class,2016,1507677.26,91041,Electric,Manual,0.0,128.6
Volkswagen Virtus,2021,663458.64,40586,Diesel,Automatic,1.4,18.0
Honda Amaze,2014,409544.21,129012,Electric,Manual,0.0,134.9
Toyota Yaris,2017,799482.62,119510,Electric,Automatic,0.0,132.7
Maruti Suzuki Brezza,2014,120000.0,60996,Diesel,Manual,,14.9
Ford Focus,2023,2678512.79,60085,Diesel,Automatic,3.0,12.7
Toyota Yaris,2019,298026.48,113863,Diesel,Manual,1.0,16.6
Mercedes-Benz C-Class,2018,1660180.17,"76,521 km",Petrol,Manual,2.8,12.8
Ford Focus,2010,237646.44,140686,Petrol,Automatic,1.9,8.8
Mercedes-Benz E-Class,2014,1086899.96,122933,Diesel,Automatic,2.5,10.7
Tata Safari,2024,859069.17,19606,Diesel,Automatic,1.7,15.1
Toyota Yaris,2008,120000.0,306429,Diesel,Manual,1.8,12.9
Hyundai Tucson,2024,1204199.52,37657,Diesel,Automatic,1.9,12.6
BMW 1 Series,2020,2977640.45,86176,Hybrid,Manual,3.6,19.5
Ford Mustang,2012,293586.76,132582,Diesel,Manual,1.9,11.7
Hyundai Tucson,2011,156915.0,64967,Petrol,Manual,1.8,10.6
Tata Punch,2017,305452.83,126412,Diesel,Manual,1.9,13.3
Maruti Suzuki Ertiga  ,2009,120953.13,97402,Petrol,Automatic,2.4,11.2
Honda Civic,2013,203926.15,185149,Diesel,Manual,1.6,16.0
Maruti Suzuki Baleno,2020,603068.99,81043,Electric,Manual,0.0,160.7
Honda Accord,2022,723511.58,32246,Diesel,Manual,1.6,17.1
Volkswagen Taigun,2012,200400.97,164209,Diesel,Automatic,1.4,13.5
Mercedes-Benz GLE,2009,417786.39,269807,Diesel,Automatic,2.4,12.4
Toyota Yaris,2008,131597.25,147460,Petrol,Manual,1.8,13.8
Maruti Suzuki Brezza,2015,153604.81,70234 KM,Diesel,Manual,1.4,15.8
Volkswagen Virtus,2024,656014.33,26503,Petrol,Automatic,1.0,17.0
Honda Accord,2017,374373.82,163225,Petrol,Automatic,1.8,8.9
Tata Punch,2009,120000.0,197056,Diesel,Manual,1.2,15.6
BMW 5 Series,2016,1688040.05,77378,Petrol,Automatic,3.1,6.2
Maruti Suzuki Swift,2020,274859.38,61489,Petrol,Manual,1.4,11.8
Hyundai Creta,2016,309566.44,166849,Petrol,Manual,1.9,14.1
BMW 3 Series,2020,4710425.29,42333,Hybrid,Automatic,4.0,25.1
Ford Endeavour,2021,1228145.22,90791,Diesel,Automatic,2.2,15.1
BMW 5 Series,2010,675627.22,199853,Diesel,Automatic,3.0,11.9
Hyundai Venue,2019,304478.12,43097,Petrol,Automatic,1.0,15.8
Tata Nexon,2017,254894.52,112948,Petrol,Automatic,1.4,15.5
Honda Amaze,2010,120000.0,167099,Diesel,Manual,1.2,14.4
Tata Safari,2015,175975.24,149902,Petrol,Automatic,1.4,14.6
Hyundai Verna,2022,543157.71,59719,Petrol,Automatic,1.2,13.4
Honda City,2015,379480.84,"95,170 km",Diesel,Automatic,1.9,12.2
Audi A3,2011,760565.77,224221,Electric,Automatic,0.0,152.7
Ford EcoSport,2020,736716.75,121368,Hybrid,Manual,1.6,25.7
Ford Mustang,2011,268010.38,152154,Diesel,Manual,2.3,14.5
Honda Accord,2024,1127003.61,21911,Petrol,Manual,1.9,12.4
Toyota RAV4,2020,878194.39,"82,153 km",Diesel,Manual,2.3,10.8
Toyota RAV4,2014,232339.34,80875,Petrol,Automatic,1.2,15.4
BMW 5 Series,2013,636763.59,211561,Diesel,Automatic,1.9,14.9
Hyundai i20,2015,196115.83,146297,CNG,Manual,1.4,26.5
Audi A3,2022,2602408.4,44019,CNG,Manual,2.5,26.9
Maruti Suzuki Ertiga,2019,169905.97,122929,Petrol,Manual,1.3,14.8
Volkswagen Virtus,2014,352605.56,231313,Electric,Manual,0.0,175.6
Audi A4,2024,2673439.26,"19,840 km",Petrol,Manual,1.8,11.3
Tata Nexon,2024,598337.9,29854,Petrol,Manual,1.3,12.4
Audi A3,2014,996476.51,210995,Electric,Manual,0.0,150.3
Honda Accord,2014,192540.44,220183,Petrol,Automatic,1.4,12.7
Audi A6,2021,2841451.09,51604,Petrol,Automatic,2.5,11.4
Maruti Suzuki Dzire,2017,234778.01,75423,Petrol,Automatic,1.4,13.0
Ford Mustang,2016,922993.87,107692,Diesel,Automatic,3.0,10.1
BMW X3,2008,235067.45,191580,Petrol,Manual,1.6,15.3
Hyundai Creta,2021,560932.12,19524,Petrol,Manual,1.5,12.3
BMW 3 Series,2014,549320.66,236258,Petrol,Manual,1.9,12.3
Audi A6,2008,314893.99,368590,Petrol,Manual,3.5,8.1
Volkswagen Taigun,2023,794500.45,26911,Petrol,Manual,1.6,11.0
Honda Amaze,2009,159748.79,172572,Petrol,Automatic,1.8,8.3
Mercedes-Benz GLC,2011,777364.61,70505,Petrol,Manual,2.9,10.1
Maruti Suzuki Dzire,2022,425693.4,48967,Diesel,Manual,1.6,12.2
Honda Amaze,2022,463929.36,52819,CNG,Automatic,1.0,27.5
Toyota RAV4,2022,527954.76,37061,Petrol,Manual,1.0,15.7
Tata Safari,2020,845129.69,58348,Electric,Automatic,0.0,183.5
Volkswagen Vento,2015,235754.78,150473,Petrol,Automatic,1.3,15.2
Mercedes-Benz A-Class,2016,2017039.1,68956,Diesel,Automatic,2.9,14.0
Maruti Suzuki Ertiga,2018,237584.93,116403,Hybrid,Automatic,1.2,20.6
BMW X3,2010,480289.27,134068,CNG,Manual,2.5,23.3
BMW X3,2013,729810.9,126850,Petrol,Manual,2.5,11.0
BMW X3,2024,3243431.8,47122,Hybrid,Manual,1.9,21.9
BMW 5 Series,2022,3479782.82,46856 KM,Electric,Manual,0.0,167.9
Toyota Fortuner,2013,177970.47,135115,Diesel,Manual,1.2,16.8
Mercedes-Benz GLE,2020,2073932.36,90415,Petrol,Manual,2.6,10.0
Volkswagen Polo,2010,120000.0,184172,Petrol,Manual,1.0,11.0
Ford Endeavour,2018,863423.19,59152,Petrol,Manual,2.5,11.5
Toyota Camry,2021,550910.85,41613,Petrol,Automatic,1.5,12.6
BMW X3,2011,507201.77,203919,Petrol,Automatic,2.3,11.6
Maruti Suzuki Swift,2013,120000.0,186462,Petrol,Manual,1.3,15.2
Hyundai Verna,2023,935739.68,23430,Diesel,Manual,1.8,16.1
Audi A3,2016,1458447.89,114401 KM,Electric,Manual,0.0,145.4
Hyundai Verna,2008,120000.0,291863,Petrol,Automatic,1.8,15.0
Maruti Suzuki Baleno,2024,501634.71,31712 KM,Petrol,Manual,1.8,16.8
Mercedes-Benz GLE,2011,595170.94,196454,Petrol,Manual,2.7,11.1
Tata Altroz,2020,362417.19,110285,Diesel,Manual,1.5,13.3
Toyota Corolla,2011,120000.0,149328,Diesel,Manual,1.0,13.0
Volkswagen Taigun,2014,273299.73,78403,Diesel,Manual,1.5,17.6
Audi Q3,2019,1798296.02,123798,Petrol,Manual,2.9,9.2
Hyundai Verna  ,2021,599062.05,51313,Petrol,Automatic,1.4,12.4
Hyundai Creta,2014,350410.32,154573,,Manual,0.0,155.7
Tata Nexon,2016,190648.62,155928,Diesel,Automatic,1.2,15.2
Maruti Suzuki Dzire,2013,134512.24,108066,Petrol,Automatic,1.9,15.2
BMW X3,2023,3659092.93,"31,740 km",Petrol,Manual,3.1,8.5
Maruti Suzuki Baleno,2023,360745.69,41997,Diesel,Automatic,1.1,17.0
BMW 5 Series,2013,555361.04,216949,Hybrid,Automatic,1.6,21.8
Audi Q3,2009,551885.37,"191,613 km",Petrol,Automatic,2.9,6.5
Tata Harrier,2010,120000.0,254572,Diesel,Automatic,1.4,16.5
Mercedes-Benz E-Class,2022,2678792.68,51176,Diesel,Automatic,1.9,13.8
Tata Harrier,2022,763186.0,18799,Petrol,Automatic,1.8,14.1
Tata Altroz,2020,546830.07,49716,  Diesel ,Automatic,1.9,14.9
Volkswagen Tiguan,2009,212825.11,203770,Electric,Automatic,0.0,129.7
Mercedes-Benz GLC,2011,972717.6,169144,Diesel,Automatic,2.9,13.2
Mercedes-Benz C-Class,2010,516143.74,182268,Petrol,Manual,2.4,10.9
Maruti Suzuki Brezza,2012,205775.83,189460,Electric,Automatic,0.0,171.3
Honda CR-V,2018,592855.62,109076,Petrol,Automatic,2.0,14.9
Mercedes-Benz GLE,2015,768183.98,162499,Petrol,Manual,1.9,12.9
Honda Amaze,2008,120000.0,278989,Hybrid,Manual,1.0,22.1
Toyota Fortuner,2008,120000.0,299920,Petrol,Automatic,1.7,15.3
Maruti Suzuki Brezza,2009,120000.0,308706,Petrol,Manual,1.8,12.9
Audi Q5,2020,1719884.56,75527,Diesel,Automatic,2.0,14.8
Honda City,2023,1140633.31,30578,Diesel,Automatic,1.7,17.6
Honda Accord,2024,829201.75,3000,  Diesel ,Manual,1.4,14.1
Honda Accord,2009,120000.0,191290,Diesel,Manual,1.2,
Hyundai i20,2009,120000.0,198951,Petrol,Manual,1.2,14.0
Maruti Suzuki Dzire,2022,286905.7,57933,CNG,Manual,1.4,25.8
Ford Mustang,2011,358237.3,228996 KM,Diesel,Automatic,2.8,11.6
BMW X5,2020,2466741.22,81626,Diesel,Automatic,2.4,12.6
Honda Amaze,2013,123412.44,163270,Diesel,Manual,1.0,12.1
Mercedes-Benz E-Class,2019,1199478.77,84505,Petrol,Manual,1.9,9.8
Maruti Suzuki Swift,2009,120000.0,155122,Petrol,Manual,1.0,16.2
Audi A6,2023,4845882.95,45012,Diesel,Manual,3.7,13.0
Ford Mustang,2016,774947.45,127396,Petrol,Manual,3.7,6.9
Honda CR-V,2018,422342.61,68183,Petrol,Manual,1.7,13.8
Mercedes-Benz A-Class,2024,4861398.6,27792,Petrol,Manual,3.0,12.5
Honda City,2010,120000.0,215346,Petrol,Automatic,,18.1
Honda Amaze,2008,120000.0,197554,Petrol,Manual,1.8,12.2
Honda Civic,2014,255815.48,59307,Diesel,Manual,1.6,15.7
Tata Harrier,2008,131152.06,254317,Electric,Automatic,0.0,154.9
Toyota Fortuner,2020,554908.36,68303,Diesel,Automatic,1.3,12.2
Volkswagen Tiguan,2012,186302.71,143219,Diesel,Manual,1.5,13.9
Volkswagen Polo,2020,956387.3,63356,Hybrid,Automatic,1.9,24.0
Audi A6,2010,427910.93,159603,Diesel,Manual,2.2,14.8
Volkswagen Vento,2021,469844.42,"27,092 km",Petrol,Manual,1.1,15.0
Maruti Suzuki Baleno,2015,181158.32,"77,702 km",  Petrol ,Automatic,1.6,9.8
BMW 5 Series,2020,1275754.26,79090,Petrol,Automatic,1.6,11.8
Ford EcoSport,2016,523832.63,154677,Petrol,Automatic,2.4,11.2
Ford Mustang,2021,2011963.54,44612,CNG,Manual,4.3,26.6
Maruti Suzuki Dzire,2014,120048.91,55728,Diesel,Manual,1.3,12.9
Toyota Corolla,2022,889234.45,41668,Petrol,Automatic,1.6,14.3
Honda Civic,2010,120000.0,187947,Diesel,Manual,1.4,16.4
Volkswagen Tiguan  ,2016,329798.18,73787,Petrol,Manual,1.5,
Hyundai i20,2024,1129891.39,7695,Hybrid,Manual,1.7,22.9
Toyota Fortuner,2011,302943.26,154601,Electric,Automatic,0.0,189.7
Hyundai i20,2011,120000.0,114716,Diesel,Manual,1.2,16.5
Tata Safari,2009,120000.0,122811,Diesel,Automatic,1.2,16.1
Volkswagen Tiguan,2013,150689.35,224549,Hybrid,Manual,1.3,27.0
Audi A4,2020,1654146.37,81677,Diesel,Manual,2.3,11.2
Toyota RAV4,2009,121449.53,256282,Petrol,Automatic,1.6,9.9
Hyundai i20,2023,791740.29,50616,Petrol,Manual,1.7,12.9
Volkswagen Vento,2017,499615.6,132044,Petrol,Automatic,2.0,
Mercedes-Benz GLC,2024,5963224.86,19226,Petrol,Manual,3.5,10.5
Mercedes-Benz A-Class,2023,2669375.55,45459,Petrol,Manual,2.2,13.0
Tata Altroz,2013,120000.0,247706,Diesel,Automatic,1.2,15.2
Honda CR-V,2010,150232.95,197079,Petrol,Automatic,1.8,10.8
Tata Safari,2012,183178.8,107650,CNG,Automatic,1.8,27.5
Tata Safari,2020,340283.1,67077,Petrol,Manual,1.2,14.0
Toyota Fortuner,2015,241527.91,"164,642 km",Hybrid,Manual,1.2,23.9
Honda City,2021,515450.49,54513,Diesel,Manual,1.3,14.1
Toyota Fortuner,2014,436757.32,143210,Electric,Manual,0.0,150.4
Hyundai Tucson,2022,494190.67,75613,,Automatic,1.1,13.0
Ford Focus,2009,417106.7,123878,Petrol,Automatic,3.6,8.5
Audi A3,2022,2044539.09,29496,Diesel,Manual,1.8,14.4
Mercedes-Benz E-Class,2015,943397.51,66369,Diesel,Manual,1.9,13.8
Honda Amaze,2023,798163.23,"45,849 km",Petrol,Manual,1.5,14.7
Toyota Corolla,2023,606090.72,42485,Diesel,Manual,1.0,16.7
Honda CR-V,2017,452782.36,109429,CNG,Automatic,1.7,16.9
Volkswagen Vento,2017,261589.9,97140,Diesel,Manual,1.0,13.5
Audi A4,2014,1002655.46,124013,Electric,Manual,0.0,178.9
Tata Nexon,2020,365817.15,31966,Petrol,Automatic,1.2,12.1
Honda Accord,2017,340343.91,110741,Petrol,Manual,1.6,13.6
Hyundai Verna,2010,120000.0,95961,Diesel,Manual,1.3,13.6
Honda City,2008,120636.85,189783,Petrol,Automatic,1.7,11.1
Mercedes-Benz C-Class,2023,3455600.35,25780,CNG,Automatic,2.5,25.9
Ford Endeavour  ,2024,1718520.77,16047 KM,Petrol,Manual,2.1,14.7
Mercedes-Benz C-Class,2017,1940106.17,79537,Diesel,Automatic,2.6,10.6
Hyundai Venue,2024,734403.18,13676,Petrol,Automatic,1.2,14.2
BMW 1 Series,2019,1786366.19,112604,Electric,Manual,0.0,155.8
Honda Amaze,2010,120000.0,274703,Petrol,Manual,1.8,11.9
Tata Punch,2012,179802.34,191671,Diesel,Automatic,1.8,16.4
BMW X3,2017,1649247.43,45801,Diesel,Automatic,2.7,14.8
BMW X3,2010,345902.44,249694,Petrol,Automatic,2.0,11.5
Ford EcoSport,2016,514757.0,159084,Diesel,Manual,2.5,12.4
Tata Punch,2022,501187.55,62910,Diesel,Automatic,1.3,14.0
Ford EcoSport,2009,344385.15,"202,091 km",Hybrid,Automatic,3.2,19.6
Audi Q5,2022,3099011.71,33311,Diesel,Manual,2.3,12.0
Tata Harrier,2020,641307.44,71794,Diesel,Automatic,2.0,15.8
Hyundai Tucson,2020,373448.13,"94,369 km",Petrol,Manual,1.3,17.3
Hyundai Tucson,2008,120000.0,276688,CNG,Manual,1.4,25.0
Maruti Suzuki Swift,2017,189669.21,71988,Diesel,Automatic,1.3,10.4
BMW 1 Series,2018,1128436.03,124949,Petrol,Manual,2.1,9.0
Honda Accord,2021,793224.15,12050,Diesel,Automatic,1.5,13.8
Ford Fiesta,2010,174018.42,183419,Petrol,Automatic,1.7,14.9
Toyota Camry,2010,120000.0,116266,CNG,Manual,1.1,20.0
Tata Safari,2008,120000.0,228907,Petrol,Automatic,1.8,8.5
Volkswagen Vento,2013,163035.09,180921,Diesel,Manual,1.4,16.8
Volkswagen Vento,2021,1130582.01,76686,  Electric ,Manual,0.0,190.9
Maruti Suzuki Brezza,2012,120000.0,125447,CNG,Manual,1.0,27.5
Maruti Suzuki Dzire,2022,525323.51,52258,Diesel,Automatic,1.7,20.7
Volkswagen Tiguan,2010,120000.0,179391,Diesel,Automatic,1.1,15.3
Mercedes-Benz E-Class,2017,1606331.69,96761,Petrol,Automatic,2.6,10.0
Mercedes-Benz GLC,2019,1894078.22,120065,Petrol,Manual,2.5,8.1
Ford Focus,2013,447461.63,181690,Diesel,Automatic,2.6,11.1
Maruti Suzuki Swift,2020,317228.16,86452,Petrol,Automatic,1.4,15.1
Toyota Fortuner,2013,152217.45,184114,Diesel,Manual,1.1,14.8
BMW X5,2019,1050520.47,81772,Petrol,Manual,1.6,9.7
Hyundai Venue,2022,662443.19,69936,Petrol,Automatic,1.3,15.2
Mercedes-Benz C-Class,2019,1793562.28,"34,560 km",Petrol,Manual,2.1,13.6
Hyundai Tucson,2021,539223.54,54422,Petrol,Manual,1.6,9.4
Honda Civic,2023,833128.58,33048,Diesel,Manual,1.5,17.0
Tata Punch,2012,186706.85,111458,Petrol,Automatic,1.9,14.9
Toyota Camry,2018,598672.9,"63,416 km",Petrol,Automatic,1.8,13.7
Maruti Suzuki Baleno,2013,148260.43,252650 KM,Electric,Manual,0.0,152.4
Honda CR-V,2023,995506.39,46043,Diesel,Manual,1.9,14.2
Audi A4,2023,1919647.42,45259,Diesel,Manual,1.7,10.7
Audi A3,2016,1667388.95,186042,Petrol,Automatic,3.3,6.9
Tata Harrier,2019,219612.84,103393,Petrol,Manual,1.1,14.7
Honda Accord,2020,718303.06,36250,CNG,Automatic,1.8,
Toyota Corolla,2023,779776.03,42058,  Diesel ,Manual,1.3,14.3
Volkswagen Taigun,2015,480889.76,184188,Electric,Manual,0.0,142.3
Hyundai i20,2022,736748.22,55099,Diesel,Manual,2.1,13.0
Audi Q3,2021,3220139.51,71166,CNG,Automatic,3.1,23.1
BMW 3 Series,2015,1277079.08,80930,Petrol,Manual,3.0,9.1
BMW 1 Series,2023,3329844.86,27721,Diesel,Manual,2.9,13.7
Hyundai Verna,2021,548930.0,71792,Petrol,Automatic,1.6,13.1
BMW 1 Series,2009,626622.78,138659,Diesel,Automatic,2.8,10.2
Ford Focus,2009,194353.45,148750 KM,Diesel,Automatic,1.9,14.0
Maruti Suzuki Baleno,2015,190932.82,101440,CNG,Automatic,1.8,27.7
Toyota Camry,2012,162800.82,184026,Petrol,Automatic,1.2,15.1
Toyota Corolla,2015,358248.05,145495,Petrol,Automatic,1.6,12.9
Ford Endeavour,2008,167278.05,282588,Petrol,Manual,2.7,11.8
Maruti Suzuki Brezza,2022,460784.85,45534,  Diesel ,Automatic,1.6,16.0
Hyundai Creta,2021,778855.51,52886,Hybrid,Manual,1.7,21.7
Ford EcoSport,2019,927918.2,79544,Petrol,Manual,2.3,9.7
Ford Mustang,2011,477088.57,107880,Petrol,Automatic,3.2,7.9
Mercedes-Benz GLE,2020,3477849.73,95786,Electric,Automatic,0.0,156.0
Tata Nexon,2017,171194.3,83883,Petrol,Manual,1.0,15.3
BMW 5 Series,2008,400328.05,193857,Electric,Manual,,165.9
Ford Fiesta,2012,287231.38,180870,Petrol,Manual,2.3,
Ford Fiesta,2012,384481.66,230331,Petrol,Manual,3.1,9.4
Hyundai Venue,2017,334755.29,106038,Diesel,Manual,1.6,13.0
Toyota Fortuner,2014,245560.14,190581,Petrol,Automatic,1.4,11.1
Volkswagen Virtus,2010,120000.0,205071,Petrol,Automatic,1.0,13.9
Toyota Fortuner,2022,1017863.89,37525,Diesel,Automatic,1.9,12.1
Ford Fiesta,2023,1631258.52,41107,Petrol,Manual,2.5,9.0
Audi A6,2021,2314570.26,101924,Electric,Manual,0.0,135.4
Hyundai Tucson,2012,155800.71,130070 KM,CNG,Automatic,1.5,24.9
Toyota Corolla,2019,568421.83,74597,Petrol,Manual,1.9,10.9
Honda Accord,2011,120000.0,158930,Petrol,Manual,1.0,14.2
Tata Punch,2021,528677.39,42499,Diesel,Manual,1.7,10.6
BMW 3 Series,2016,1612993.54,105055,Petrol,Automatic,3.3,9.4
Mercedes-Benz C-Class,2014,984301.74,73325,Petrol,Automatic,3.1,12.8
Volkswagen Taigun,2010,156478.52,181883,Diesel,Manual,1.8,18.7
Toyota Yaris,2011,173060.86,129308,Petrol,Manual,1.6,12.1
Ford Endeavour,2016,566670.23,105323 KM,Petrol,Manual,2.4,11.9
Honda Civic,2011,153175.89,122140,Diesel,Automatic,1.5,14.4
Honda City,2023,609456.66,27624,Diesel,Automatic,1.2,18.4
Maruti Suzuki Dzire,2021,271412.15,"31,860 km",Petrol,Manual,1.4,15.3
Honda Amaze,2011,150991.63,111741,Petrol,Manual,1.4,15.6
Volkswagen Polo,2021,608025.67,82459,Diesel,Manual,1.5,13.2
Toyota Corolla,2024,710157.18,34718,Petrol,Manual,1.0,12.5
Audi A6,2019,1673707.04,56806,Diesel,Manual,2.1,16.7
Volkswagen Virtus,2016,307526.48,117765,Petrol,Manual,1.5,13.9
Volkswagen Vento,2020,1356057.3,91547,Electric,Automatic,0.0,143.9
Tata Punch,2008,120000.0,225383,Diesel,Manual,2.0,12.7
Volkswagen Polo,2013,152916.05,"227,032 km",Petrol,Manual,1.4,14.4
Tata Punch,2024,789868.99,24469,Petrol,Automatic,1.4,12.6
Ford Fiesta,2008,232837.27,196092,Diesel,Automatic,2.6,11.2
Hyundai Creta,2023,984825.41,34865,Diesel,Automatic,1.9,12.0
Toyota Fortuner,2019,430250.67,94556,Diesel,Automatic,1.2,19.4
Toyota Corolla,2011,210555.6,174825,Hybrid,Manual,1.8,18.2
Toyota Fortuner,2015,225243.15,112686,Petrol,Automatic,1.2,13.8
Maruti Suzuki Swift,2023,389491.24,59119,Petrol,Automatic,1.3,14.4
Mercedes-Benz E-Class,2017,1311056.49,128582,Hybrid,Automatic,1.7,24.6
Tata Harrier,2024,1428057.23,"23,300 km",Electric,Automatic,0.0,169.6
Maruti Suzuki Brezza,2018,307897.81,86483,Diesel,Automatic,1.6,17.6
Ford Endeavour,2024,1709721.75,38224,Petrol,Automatic,2.3,12.1
Ford Endeavour,2016,531628.2,129711,Petrol,Manual,2.5,
Hyundai Creta,2016,227142.43,128852,Petrol,Manual,1.3,16.9
Ford Fiesta,2021,1738389.55,68770,Electric,Automatic,0.0,149.3
Tata Altroz,2020,328051.72,67462,CNG,Manual,1.5,
Mercedes-Benz A-Class,2023,3801843.6,44260,Diesel,Manual,2.6,12.3
Toyota Yaris,2014,196159.64,129606,Petrol,Manual,1.2,11.8
Audi A3,2017,1465532.54,97607,Hybrid,Manual,2.6,22.5
Maruti Suzuki Brezza,2019,208943.95,84688,Petrol,Manual,1.4,10.1
Honda Civic,2012,199478.95,124834,Diesel,Automatic,1.6,15.1
Audi A3,2013,896448.03,174675,Diesel,Manual,3.0,15.2
Audi A4,2014,1044201.8,205869,Diesel,Automatic,,11.5
Tata Nexon,2018,373002.85,72759,Petrol,Manual,1.9,13.4
Honda CR-V,2010,120000.0,241921,Petrol,Automatic,1.0,12.5
Mercedes-Benz E-Class,2014,700489.15,156338,CNG,Manual,2.2,23.9
Maruti Suzuki Baleno,2010,120000.0,204015,Diesel,Automatic,1.6,14.3
Volkswagen Tiguan,2013,224277.85,138568,Diesel,Manual,1.4,18.5
Audi A6,2020,2503550.87,"72,308 km",Petrol,Manual,3.0,9.6
Honda Civic,2020,604824.2,79373,Diesel,Automatic,1.3,12.5
Tata Safari,2017,350710.23,91062,CNG,Automatic,1.9,25.1
BMW 5 Series,2008,225700.83,278315,Petrol,Manual,1.8,14.7
Honda Amaze,2017,336367.78,132875,Diesel,Automatic,1.6,13.5
Toyota RAV4,2014,210291.96,220994,Petrol,Automatic,1.4,14.7
Audi Q3,2017,1255240.45,109663,CNG,Automatic,2.3,28.5
BMW 3 Series,2010,529728.29,98715,Diesel,Manual,2.2,13.5
Tata Altroz,2022,793744.74,57862,Diesel,Automatic,2.0,15.2
Ford Fiesta,2023,1186646.98,48767,CNG,Automatic,1.6,23.1
Hyundai Verna,2008,120000.0,228688,Petrol,Manual,1.8,10.9
Hyundai Creta,2008,120000.0,213557,CNG,Manual,1.7,25.5
